Number,Name,ID,Gen MW,Gen Mvar,Set Volt,AGC,AVR,Min MW,Max MW,Min Mvar,Max Mvar,Part. Factor,Test No,Group,Condition
44,JOHN BUT,1,144,-9.88,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
45,TRIBUTE,1,83,3.24,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
46,REECE,1,115,-3.97,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
47,REECE,1,115,-3.97,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
48,CETHANA,1,85,61.52,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
49,WILMOT,1,51,70.17,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
50,LEMONTHY,1,30,75.94,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
52,ROWALLAN,1,11,-99.91,1,YES,YES,0,1000,-9900,9900,10,18,BR,BLACKOUT
54,TAMAR VA,1,200,51.29,1,YES,YES,0,210,-9900,9900,10,18,BR,BLACKOUT
121,NBUS,1,43,161.72,1,YES,YES,0,60,-9900,9900,10,18,BR,BLACKOUT
14,PALOONA,1,10.8,325.64,1,NO,YES,0,140,-9900,9900,100,19,BR,BLACKOUT
21,DEVILS B,1,-450.77,571.32,1.02,YES,YES,0,200,-9900,9900,100,19,BR,BLACKOUT
33,SLACK,1,0,0,1.02,NO,YES,0,300,-9900,9900,100,19,BR,BLACKOUT
33,SLACK,2,0,0,1.02,YES,YES,0,140,-9900,9900,100,19,BR,BLACKOUT
38,MACKINTO,1,80,6.39,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
43,BASTYAN,1,80,-1.45,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
44,JOHN BUT,1,144,-14.74,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
45,TRIBUTE,1,83,-2.14,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
46,REECE,1,115,-9.06,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
47,REECE,1,115,-9.06,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
48,CETHANA,1,85,53.28,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
49,WILMOT,1,51,61.58,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
50,LEMONTHY,1,30,67.13,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
52,ROWALLAN,1,11,-94.88,1,YES,YES,0,1000,-9900,9900,10,19,BR,BLACKOUT
54,TAMAR VA,1,200,45.83,1,YES,YES,0,210,-9900,9900,10,19,BR,BLACKOUT
121,NBUS,1,43,150.59,1,YES,YES,0,60,-9900,9900,10,19,BR,BLACKOUT
