Number,From Name,To Number,To Name,ID,Circuit,Status,Xfrmr,From MW,From Mvar,From MVA,Lim MVA,MW Loss,Mvar Loss,Test No,Group,Condition,,
20,BURNIE,12,EMU BAY,55,1,Closed,No,-0.7,-56.1,56.1,180,0.4,-6.1,2,LR,OK,,
13,ULVERSTO,14,PALOONA,56,1,Closed,No,-1.4,-42.8,42.8,180,0.2,-8,2,LR,OK,,
14,PALOONA,15,SHEFFIEL,57,1,Closed,No,9.2,68.4,69,180,0.7,-5.7,2,LR,OK,,
15,SHEFFIEL,16,WESLEY V,58,1,Closed,No,0,-12.5,12.5,180,0,-8.3,2,LR,OK,,
15,SHEFFIEL,17,DEVONPOR,59,1,Closed,No,0,-12.5,12.5,180,0,-8.3,2,LR,OK,,
15,SHEFFIEL,18,RAILTON,60,1,Closed,No,0,-8.3,8.3,180,0,-8.3,2,LR,OK,,
19,DEVILS G,15,SHEFFIEL,61,1,Closed,No,-246.1,23.9,247.3,180,9.9,31.5,2,LR,OK,,
20,BURNIE,15,SHEFFIEL,62,1,Closed,No,5,-69.4,69.6,180,0.7,-5.1,2,LR,OK,,
15,SHEFFIEL,22,SHEFF_B2,63,1,Closed,Yes,-243.4,35.4,245.9,1000,0,85.6,2,LR,OK,,
16,WESLEY V,17,DEVONPOR,64,1,Closed,No,0,-4.2,4.2,180,0,-8.4,2,LR,OK,,
19,DEVILS G,21,DEVILS B,65,1,Closed,Yes,246.1,-23.9,247.3,1000,0,92.6,2,LR,OK,,
23,,20,BURNIE,66,1,Closed,Yes,156.8,25.1,158.8,1000,0,38.1,2,LR,OK,,
34,Hamsphir,20,BURNIE,67,1,Closed,No,157.1,-14.5,157.7,180,4,8,2,LR,OK,,
22,SHEFF_B2,23,,68,1,Closed,No,160.8,33,164.2,180,4,7.9,2,LR,OK,,
42,FARRELL,22,SHEFF_B2,69,1,Closed,No,449.7,-19.6,450.1,180,28.7,105.6,2,LR,OK,,
48,CETHANA,22,SHEFF_B2,70,1,Closed,No,85,32.9,91.2,180,1.2,-4,2,LR,OK,,
49,WILMOT,22,SHEFF_B2,71,1,Closed,No,51,40.3,65,180,0.6,-6.2,2,LR,OK,,
50,LEMONTHY,22,SHEFF_B2,72,1,Closed,No,30,45.2,54.2,180,0.5,-6.9,2,LR,OK,,
51,FISHER,22,SHEFF_B2,73,1,Closed,No,53,39.8,66.3,180,0.7,-6.1,2,LR,OK,,
53,53,22,SHEFF_B2,74,1,Closed,No,-224.8,50.9,230.5,180,8.1,23.9,2,LR,OK,,
132,132,34,Hamsphir,75,1,Closed,No,157.1,14.2,157.7,180,0,28.6,2,LR,OK,,
132,132,35,Savage r,76,1,Closed,No,0,0,0,180,0,0,2,LR,OK,,
36,QUE,120,NBUSQUEW,77,1,Closed,No,0,0,0,180,0,-8.4,2,LR,OK,,
37,37,38,MACKINTO,78,1,Closed,No,-79.1,-12.5,80.1,180,0.9,-5.3,2,LR,OK,,
39,ROSEBERY,37,37,79,1,Closed,No,-0.6,4.8,4.8,180,0,-8.7,2,LR,OK,,
37,37,42,FARRELL,80,1,Closed,Yes,-78.1,6.6,78.3,180,0.9,-5.2,2,LR,OK,,
37,37,119,QUEENFAR,81,1,Closed,No,-0.5,-21.8,21.8,180,0,-8.6,2,LR,OK,,
37,37,120,NBUSQUEW,82,1,Closed,No,157.1,41.2,162.4,180,0,6.7,2,LR,OK,,
39,ROSEBERY,119,QUEENFAR,83,1,Closed,No,0.6,-4.8,4.8,0,0,0,2,LR,OK,,
40,QUEENSTO,41,NEWTON,84,1,Closed,No,0,-9.1,9.1,180,0,-9.1,2,LR,OK,,
40,QUEENSTO,119,QUEENFAR,85,1,Closed,No,0,9.1,9.1,180,0,-8.9,2,LR,OK,,
43,BASTYAN,42,FARRELL,86,1,Closed,No,80,-3.3,80.1,180,0.9,-5.4,2,LR,OK,,
42,FARRELL,44,JOHN BUT,87,1,Closed,No,-141.1,17.7,142.2,180,2.9,2.6,2,LR,OK,,
42,FARRELL,45,TRIBUTE,88,1,Closed,No,-82,-1.2,82.1,180,1,-5.1,2,LR,OK,,
46,REECE,42,FARRELL,89,1,Closed,No,115,-10.1,115.4,180,1.8,-1.6,2,LR,OK,,
47,REECE,42,FARRELL,90,1,Closed,No,115,-10.1,115.4,180,1.8,-1.6,2,LR,OK,,
121,NBUS,51,FISHER,91,1,Closed,No,53.6,32.8,62.8,180,0.6,-7,2,LR,OK,,
52,ROWALLAN,121,NBUS,92,1,Closed,No,11,-56.3,57.3,180,0.4,-7.7,2,LR,OK,,
54,TAMAR VA,53,53,93,1,Closed,No,200,32.2,202.6,180,5.7,14.2,2,LR,OK,,
53,53,55,BASSLINK,94,1,Closed,No,0.3,-83.9,83.9,180,0.3,-83.9,2,LR,OK,,
56,COMALCO,53,53,95,1,Closed,No,-300,0,300,180,15.6,54.3,2,LR,OK,,
53,53,57,GEORGE T,96,1,Closed,Yes,103.2,-3.3,103.3,180,1.6,-1.8,2,LR,OK,,
57,GEORGE T,59,TEMCO,97,1,Closed,No,101.6,-1.5,101.6,180,1.6,-1.5,2,LR,OK,,
120,NBUSQUEW,132,132,98,1,Closed,No,157.1,42.8,162.8,180,0,28.6,2,LR,OK,,
11,SMITHTON,10,PORT LAT,99,1,Closed,No,-156.4,21.8,157.9,180,4.6,11.2,3,LR,OK,,
10,PORT LAT,20,BURNIE,100,1,Closed,No,-160.9,10.6,161.3,180,4.6,11,3,LR,OK,,
11,SMITHTON,20,BURNIE,101,1,Closed,No,-180.3,-11.5,180.7,100,0,42.8,3,LR,OK,,
33,SLACK,11,SMITHTON,102,1,Closed,Yes,-336.7,203.8,393.6,1000,0,193.6,3,LR,OK,,
12,EMU BAY,13,ULVERSTO,103,1,Open,No,0,0,0,180,0,0,3,LR,OK,,
20,BURNIE,12,EMU BAY,104,1,Closed,No,0,-7.5,7.5,180,0,-7.5,3,LR,OK,,
13,ULVERSTO,14,PALOONA,105,1,Closed,No,0,0,0,180,0,-9,3,LR,OK,,
14,PALOONA,15,SHEFFIEL,106,1,Closed,No,10.8,64,64.9,180,0.7,-6,3,LR,OK,,
15,SHEFFIEL,16,WESLEY V,107,1,Closed,No,0,-12.5,12.5,180,0,-8.3,3,LR,OK,,
15,SHEFFIEL,17,DEVONPOR,108,1,Closed,No,0,-12.5,12.5,180,0,-8.3,3,LR,OK,,
15,SHEFFIEL,18,RAILTON,109,1,Closed,No,0,-8.3,8.3,180,0,-8.3,3,LR,OK,,
19,DEVILS G,15,SHEFFIEL,110,1,Closed,No,-209,27.6,210.9,180,7,19.8,3,LR,OK,,
20,BURNIE,15,SHEFFIEL,111,1,Closed,No,-31,-79.5,85.3,180,1.1,-3.4,3,LR,OK,,
15,SHEFFIEL,22,SHEFF_B2,112,1,Closed,Yes,-238,35.2,240.6,1000,0,81.6,3,LR,OK,,
16,WESLEY V,17,DEVONPOR,113,1,Closed,No,0,-4.2,4.2,180,0,-8.4,3,LR,OK,,
19,DEVILS G,21,DEVILS B,114,1,Closed,Yes,209,-27.6,210.9,1000,0,65.4,3,LR,OK,,
23,,20,BURNIE,115,1,Closed,Yes,160.8,30.2,163.6,1000,0,40.8,3,LR,OK,,
34,Hamsphir,20,BURNIE,116,1,Closed,No,158.2,-13,158.7,180,4.1,8.7,3,LR,OK,,
22,SHEFF_B2,23,,117,1,Closed,No,165.1,39.3,169.7,180,4.3,9.1,3,LR,OK,,
42,FARRELL,22,SHEFF_B2,118,1,Closed,No,448.5,-19.5,448.9,180,28.5,105.1,3,LR,OK,,
48,CETHANA,22,SHEFF_B2,119,1,Closed,No,85,33.4,91.3,180,1.2,-4,3,LR,OK,,
49,WILMOT,22,SHEFF_B2,120,1,Closed,No,51,40.7,65.3,180,0.6,-6.2,3,LR,OK,,
50,LEMONTHY,22,SHEFF_B2,121,1,Closed,No,30,45.6,54.6,180,0.5,-6.9,3,LR,OK,,
51,FISHER,22,SHEFF_B2,122,1,Closed,No,53,40.3,66.6,180,0.7,-6.1,3,LR,OK,,
53,53,22,SHEFF_B2,123,1,Closed,No,-224.8,51.1,230.5,180,8.1,23.9,3,LR,OK,,
132,132,34,Hamsphir,124,1,Closed,No,158.2,16.6,159,180,0,29.6,3,LR,OK,,
132,132,35,Savage r,125,1,Closed,No,0,0,0,180,0,0,3,LR,OK,,
